timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721504790601,1574,Login-0,302,Found,Login  1-32,text,true,,6785,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1574,0,0
1721504792176,4387,Login-1,200,OK,Login  1-32,text,true,,51526,371,50,50,https://magento.softwaretestingboard.com/customer/account/,4374,0,0
1721504789451,7185,Load Login(for key),200,OK,Login  1-37,text,true,,39690,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,7180,0,95
1721504793022,3730,Login,200,OK,Login  1-21,text,true,,58326,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1744,0,0
1721504793022,1744,Login-0,302,Found,Login  1-21,text,true,,6781,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1744,0,0
1721504794766,1986,Login-1,200,OK,Login  1-21,text,true,,51545,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1977,0,0
1721504788928,7840,Login,200,OK,Login  1-6,text,true,,58338,774,50,50,https://magento.softwaretestingboard.com/customer/account/,4404,0,0
1721504788928,4404,Login-0,302,Found,Login  1-6,text,true,,6791,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,4404,0,0
1721504793333,3435,Login-1,200,OK,Login  1-6,text,true,,51547,371,50,50,https://magento.softwaretestingboard.com/customer/account/,3422,0,0
1721504795878,1199,Load Login(for key),200,OK,Login  1-29,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1190,0,93
1721504795688,1395,Load Login(for key),200,OK,Login  1-8,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1391,0,93
1721504796070,1228,Load Login(for key),200,OK,Login  1-19,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1216,0,123
1721504796070,1241,Load Login(for key),200,OK,Login  1-16,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1229,0,129
1721504788927,8405,Login,200,OK,Login  1-5,text,true,,58303,774,50,50,https://magento.softwaretestingboard.com/customer/account/,2225,0,0
1721504788927,2225,Login-0,302,Found,Login  1-5,text,true,,6781,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,2225,0,0
1721504791153,6179,Login-1,200,OK,Login  1-5,text,true,,51522,371,50,50,https://magento.softwaretestingboard.com/customer/account/,6172,0,0
1721504795691,1801,Account Page,200,OK,Login  1-25,text,true,,51512,370,50,50,https://magento.softwaretestingboard.com/customer/account,1746,0,0
1721504789650,7848,Load Login(for key),200,OK,Login  1-42,text,true,,39682,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,7844,0,125
1721504789812,7686,Load Login(for key),200,OK,Login  1-46,text,true,,39678,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,7684,0,105
1721504795002,2842,Account Page,200,OK,Login  1-20,text,true,,51512,370,50,50,https://magento.softwaretestingboard.com/customer/account,2839,0,0
1721504794794,3057,Account Page,200,OK,Login  1-10,text,true,,51516,370,50,50,https://magento.softwaretestingboard.com/customer/account,3055,0,0
1721504795105,2920,Account Page,200,OK,Login  1-13,text,true,,51522,370,50,50,https://magento.softwaretestingboard.com/customer/account,2912,0,0
1721504796285,1768,Account Page,200,OK,Login  1-7,text,true,,51510,370,50,50,https://magento.softwaretestingboard.com/customer/account,1762,0,0
1721504796357,1730,Account Page,200,OK,Login  1-23,text,true,,51518,370,50,50,https://magento.softwaretestingboard.com/customer/account,1715,0,0
1721504793379,4836,Account Page,200,OK,Login  1-17,text,true,,51516,370,50,50,https://magento.softwaretestingboard.com/customer/account,4782,0,0
1721504796294,1921,Account Page,200,OK,Login  1-33,text,true,,51508,370,50,50,https://magento.softwaretestingboard.com/customer/account,1921,0,0
1721504796431,1914,Account Page,200,OK,Login  1-35,text,true,,51518,370,50,50,https://magento.softwaretestingboard.com/customer/account,1910,0,0
1721504790753,7730,Login,200,OK,Login  1-22,text,true,,58307,774,50,50,https://magento.softwaretestingboard.com/customer/account/,6103,0,0
1721504790753,6103,Login-0,302,Found,Login  1-22,text,true,,6783,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,6103,0,0
1721504796856,1627,Login-1,200,OK,Login  1-22,text,true,,51524,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1616,0,0
1721504796250,2315,Account Page,200,OK,Login  1-28,text,true,,51520,370,50,50,https://magento.softwaretestingboard.com/customer/account,2298,0,0
1721504790611,8081,Login,200,OK,Login  1-27,text,true,,58325,774,50,50,https://magento.softwaretestingboard.com/customer/account/,6265,0,0
1721504790611,6265,Login-0,302,Found,Login  1-27,text,true,,6791,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,6265,0,0
1721504796877,1815,Login-1,200,OK,Login  1-27,text,true,,51534,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1779,0,0
1721504797493,1200,Load Login(for key),200,OK,Login  1-25,text,true,,39688,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1199,0,81
1721504796530,2282,Account Page,200,OK,Login  1-41,text,true,,51518,370,50,50,https://magento.softwaretestingboard.com/customer/account,2232,0,0
1721504791374,7503,Login,200,OK,Login  1-50,text,true,,58311,774,50,50,https://magento.softwaretestingboard.com/customer/account/,5703,0,0
1721504791374,5703,Login-0,302,Found,Login  1-50,text,true,,6783,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,5703,0,0
1721504797078,1799,Login-1,200,OK,Login  1-50,text,true,,51528,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1791,0,0
